link,name
de/organisation-mitglieder/fachgruppen/antriebstechnik.html,Antriebstechnik
de/organisation-mitglieder/fachgruppen/assembly-factory-automation.html,Assembly and factory automation
de/organisation-mitglieder/fachgruppen/automotive.html,Automotive
de/organisation-mitglieder/fachgruppen/dimensionelle-messtechnik.html,Dimensionelle Messtechnik
de/organisation-mitglieder/fachgruppen/fluidtechnik.html,Fluidtechnik
de/organisation-mitglieder/fachgruppen/foerder-und-lagertechnik.html,Förder- und Lagertechnik
de/organisation-mitglieder/fachgruppen/grafische-maschinen.html,Grafische Maschinen
de/organisation-mitglieder/fachgruppen/handwerkzeuge.html,Handwerkzeuge
de/organisation-mitglieder/fachgruppen/kompressoren-druckluft-und-vakuumtechnik.html,"Kompressoren, Druckluft- und Vakuumtechnik"
de/organisation-mitglieder/fachgruppen/kunststoffmaschinen.html,Kunststoffmaschinen
de/organisation-mitglieder/fachgruppen/photonics.html,Photonics
de/organisation-mitglieder/fachgruppen/praezisionswerkzeuge.html,Präzisionswerkzeuge
de/organisation-mitglieder/fachgruppen/pumpentechnik.html,Pumpentechnik
de/organisation-mitglieder/fachgruppen/raumfahrttechnik.html,Raumfahrttechnik
de/organisation-mitglieder/fachgruppen/schweiss-und-schneidtechnik.html,Schweiss- und Schneidtechnik
de/organisation-mitglieder/fachgruppen/swiss-additive-manufacturing-group.html,Swiss Additive Manufacturing Group
de/organisation-mitglieder/fachgruppen/swiss-airport-suppliers.html,Swiss Airport Suppliers
de/organisation-mitglieder/fachgruppen/swiss-asd.html,Swiss ASD
de/organisation-mitglieder/fachgruppen/textilmaschinen.html,Textilmaschinen
de/organisation-mitglieder/fachgruppen/transmission-und-distribution.html,Transmission und Distribution
de/organisation-mitglieder/fachgruppen/umwelttechnik.html,Umwelttechnik
de/organisation-mitglieder/fachgruppen/verbrennungsmaschinen.html,Verbrennungsmaschinen
de/organisation-mitglieder/fachgruppen/verfahrenstechnischer-maschinen-und-apparatebau.html,Verfahrenstechnischer Maschinen- und Apparatebau
de/organisation-mitglieder/fachgruppen/verpackungstechnik.html,Verpackungstechnik
de/organisation-mitglieder/fachgruppen/werkzeug-und-formenbau.html,Werkzeug- und Formenbau
de/organisation-mitglieder/fachgruppen/werkzeugmaschinen-fertigungstechnik.html,Werkzeugmaschinen und Fertigungstechnik
de/organisation-mitglieder/fachgruppen/zulieferer.html,Zulieferer ZMIS
